dataset,model,MASE,WQL,MAPE
demand_data_all_nsw.csv(pl1),amazon/chronos-t5-small,0.28174896705926616,0.01330676719047961,0.017082065404307768
demand_data_all_nsw.csv(pl12),amazon/chronos-t5-small,0.6806538725782224,0.032587693453651444,0.04157929683112231
demand_data_all_nsw.csv(pl24),amazon/chronos-t5-small,0.762313867882974,0.03651521573857838,0.046638580950582
demand_data_all_nsw.csv(pl48),amazon/chronos-t5-small,0.8732138746408763,0.041811765501546014,0.053323936555370786
