dataset,model,MASE,WQL,MAPE
demand_data_all_cleaned.csv(pl1),amazon/chronos-t5-small,0.18714582502102287,0.005247879572425532,0.0066395978573248315
demand_data_all_cleaned.csv(pl12),amazon/chronos-t5-small,0.35993878300089793,0.010077014313396698,0.012673391291294233
demand_data_all_cleaned.csv(pl24),amazon/chronos-t5-small,0.42423800419561764,0.011902768921093449,0.01496896902862872
demand_data_all_cleaned.csv(pl48),amazon/chronos-t5-small,0.4979485146586409,0.014049627285602792,0.017647675746301446
