,date,pred,true
0,2022-03-13,6585.6626,6554.968
1,2022-03-14,7270.2114,7116.699
2,2022-03-15,7348.3027,7137.591
3,2022-03-16,7285.234,7451.3105
4,2022-03-17,7543.8867,7633.5356
5,2022-03-18,7492.895,7695.4204
6,2022-03-19,7242.8877,6999.5806
7,2022-03-20,6827.049,6482.3037
8,2022-03-21,6975.255,7259.8516
9,2022-03-22,7524.5044,7425.5986
10,2022-03-23,7504.737,7511.9487
11,2022-03-24,7578.08,7573.605
12,2022-03-25,7511.9536,7333.783
13,2022-03-26,6889.1724,6883.713
14,2022-03-27,6643.02,6844.104
15,2022-03-28,7314.0454,7479.9385
16,2022-03-29,7630.612,7728.544
17,2022-03-30,7633.2324,7491.206
18,2022-03-31,7472.48,7454.201
19,2022-04-01,7286.699,7371.5103
20,2022-04-02,6821.5464,6771.9443
21,2022-04-03,6628.0,6392.828
22,2022-04-04,7054.0625,6980.6475
23,2022-04-05,7273.52,7100.761
24,2022-04-06,7255.739,7380.3823
25,2022-04-07,7468.6816,7757.1636
26,2022-04-08,7637.5024,7468.116
27,2022-04-09,7017.736,6990.964
28,2022-04-10,6721.846,6663.5522
29,2022-04-11,7097.2954,7302.068
30,2022-04-12,7508.848,7268.1587
31,2022-04-13,7383.928,7333.456
32,2022-04-14,7452.235,7216.878
33,2022-04-15,7244.705,6394.872
34,2022-04-16,6328.1323,6447.1206
35,2022-04-17,6636.466,6214.767
36,2022-04-18,6723.83,6428.2715
37,2022-04-19,6953.1924,7137.6377
38,2022-04-20,7297.7246,6887.944
39,2022-04-21,6998.4316,7186.0376
40,2022-04-22,7180.8813,7411.3457
41,2022-04-23,6897.956,6854.7256
42,2022-04-24,6582.5464,6561.7593
43,2022-04-25,7104.5605,6746.973
44,2022-04-26,7188.9287,7515.1606
45,2022-04-27,7460.13,7711.669
46,2022-04-28,7659.404,7708.5005
47,2022-04-29,7637.5093,7410.6025
48,2022-04-30,7044.6733,7140.794
49,2022-05-01,6709.0376,6720.115
50,2022-05-02,6781.7285,7287.9624
51,2022-05-03,7585.371,7310.209
52,2022-05-04,7393.58,7490.6113
53,2022-05-05,7506.6406,7502.9136
54,2022-05-06,7378.9907,7422.1074
55,2022-05-07,6876.716,7309.1865
56,2022-05-08,6782.0425,7074.467
57,2022-05-09,7475.9663,8001.754
58,2022-05-10,8007.4644,7897.479
59,2022-05-11,7857.346,8151.83
60,2022-05-12,7999.832,8223.201
61,2022-05-13,7963.115,7870.4023
62,2022-05-14,7386.661,7189.14
63,2022-05-15,7124.8223,7080.824
