,date,pred,true
0,2022-03-13,6569.16,6554.968
1,2022-03-14,7211.665,7116.699
2,2022-03-15,7331.5825,7137.591
3,2022-03-16,7360.739,7451.3105
4,2022-03-17,7399.7925,7633.5356
5,2022-03-18,7276.024,7695.4204
6,2022-03-19,6857.4067,6999.5806
7,2022-03-20,6796.346,6482.3037
8,2022-03-21,7318.381,7259.8516
9,2022-03-22,7428.399,7425.5986
10,2022-03-23,7420.698,7511.9487
11,2022-03-24,7483.958,7573.605
12,2022-03-25,7354.1387,7333.783
13,2022-03-26,6942.6704,6883.713
14,2022-03-27,6876.6626,6844.104
15,2022-03-28,7382.1934,7479.9385
16,2022-03-29,7417.399,7728.544
17,2022-03-30,7448.753,7491.206
18,2022-03-31,7397.594,7454.201
19,2022-04-01,7247.9707,7371.5103
20,2022-04-02,6877.2095,6771.9443
21,2022-04-03,6832.652,6392.828
22,2022-04-04,7316.7314,6980.6475
23,2022-04-05,7434.449,7100.761
24,2022-04-06,7437.748,7380.3823
25,2022-04-07,7441.5996,7757.1636
26,2022-04-08,7340.936,7468.116
27,2022-04-09,6916.8154,6990.964
28,2022-04-10,6841.456,6663.5522
29,2022-04-11,7328.834,7302.068
30,2022-03-14,7243.8086,7116.699
31,2022-03-15,7332.9204,7137.591
32,2022-03-16,7335.118,7451.3105
33,2022-03-17,7413.228,7633.5356
34,2022-03-18,7301.017,7695.4204
35,2022-03-19,6888.467,6999.5806
36,2022-03-20,6828.5083,6482.3037
37,2022-03-21,7376.9243,7259.8516
38,2022-03-22,7468.236,7425.5986
39,2022-03-23,7444.031,7511.9487
40,2022-03-24,7464.9336,7573.605
41,2022-03-25,7334.02,7333.783
42,2022-03-26,6982.5273,6883.713
43,2022-03-27,6895.0684,6844.104
44,2022-03-28,7425.878,7479.9385
45,2022-03-29,7500.1367,7728.544
46,2022-03-30,7521.0405,7491.206
47,2022-03-31,7505.638,7454.201
48,2022-04-01,7382.975,7371.5103
49,2022-04-02,6952.824,6771.9443
50,2022-04-03,6857.6636,6392.828
