,date,pred,true
0,2021-08-07,6228.1377,6298.0215
1,2021-08-08,6065.473,5977.038
2,2021-08-09,6574.642,5975.9326
3,2021-08-10,6629.1646,6635.174
4,2021-08-11,6591.313,6613.616
5,2021-08-12,6585.0044,6582.2583
6,2021-08-13,6575.0933,6528.778
7,2021-08-14,6235.346,6198.8223
8,2021-08-15,6091.608,5983.757
9,2021-08-16,6543.101,6471.06
10,2021-08-17,6596.723,6417.69
11,2021-08-18,6587.7114,6299.402
12,2021-08-19,6630.9673,6290.715
13,2021-08-20,6602.5806,6312.497
14,2021-08-21,6222.279,6028.5933
15,2021-08-22,6113.687,5871.773
16,2021-08-23,6582.3013,6335.6367
17,2021-08-24,6642.6826,6306.076
18,2021-08-25,6634.573,6286.873
19,2021-08-26,6625.5605,6360.3623
20,2021-08-27,6603.931,6458.062
21,2021-08-28,6229.0376,6254.0283
22,2021-08-29,6106.0273,6040.195
23,2021-08-30,6574.6426,6356.2
24,2021-08-31,6623.306,6423.1323
25,2021-09-01,6648.991,6493.1084
26,2021-09-02,6646.2896,6298.5425
27,2021-09-03,6615.197,6362.3506
28,2021-09-04,6233.543,6188.2095
29,2021-09-05,6139.3706,6039.7646
30,2021-08-08,6016.944,5977.038
31,2021-08-09,6501.76,5975.9326
32,2021-08-10,6539.1577,6635.174
33,2021-08-11,6517.529,6613.616
34,2021-08-12,6543.2114,6582.2583
35,2021-08-13,6537.3535,6528.778
36,2021-08-14,6180.0513,6198.8223
37,2021-08-15,6052.5376,5983.757
38,2021-08-16,6534.65,6471.06
39,2021-08-17,6573.4,6417.69
40,2021-08-18,6568.444,6299.402
41,2021-08-19,6581.5107,6290.715
42,2021-08-20,6546.3667,6312.497
43,2021-08-21,6180.05,6028.5933
44,2021-08-22,6064.255,5871.773
45,2021-08-23,6546.366,6335.6367
46,2021-08-24,6579.7075,6306.076
47,2021-08-25,6573.852,6286.873
48,2021-08-26,6599.084,6360.3623
49,2021-08-27,6554.0254,6458.062
50,2021-08-28,6188.6113,6254.0283
51,2021-08-29,6057.0444,6040.195
52,2021-08-30,6542.7617,6356.2
53,2021-08-31,6573.852,6423.1323
54,2021-09-01,6570.696,6493.1084
55,2021-09-02,6588.72,6298.5425
56,2021-09-03,6567.993,6362.3506
57,2021-09-04,6188.612,6188.2095
58,2021-09-05,6107.959,6039.7646
59,2021-09-06,6574.304,6537.5215
60,2021-08-09,6432.0566,5975.9326
61,2021-08-10,6481.1675,6635.174
62,2021-08-11,6498.288,6613.616
63,2021-08-12,6509.553,6582.2583
64,2021-08-13,6511.3545,6528.778
65,2021-08-14,6152.2656,6198.8223
66,2021-08-15,6058.55,5983.757
67,2021-08-16,6507.2993,6471.06
68,2021-08-17,6551.002,6417.69
69,2021-08-18,6567.221,6299.402
70,2021-08-19,6560.916,6290.715
71,2021-08-20,6525.7725,6312.497
72,2021-08-21,6192.3643,6028.5933
73,2021-08-22,6070.7144,5871.773
74,2021-08-23,6484.322,6335.6367
75,2021-08-24,6537.936,6306.076
76,2021-08-25,6536.585,6286.873
77,2021-08-26,6550.5513,6360.3623
78,2021-08-27,6505.9473,6458.062
79,2021-08-28,6173.8926,6254.0283
80,2021-08-29,6037.8237,6040.195
81,2021-08-30,6478.915,6356.2
82,2021-08-31,6524.4204,6423.1323
83,2021-09-01,6529.3765,6493.1084
84,2021-09-02,6555.9575,6298.5425
85,2021-09-03,6514.958,6362.3506
86,2021-09-04,6182.451,6188.2095
87,2021-09-05,6090.089,6039.7646
88,2021-09-06,6534.3306,6537.5215
89,2021-09-07,6586.5938,6451.408
90,2021-08-10,6394.715,6635.174
91,2021-08-11,6438.8706,6613.616
92,2021-08-12,6437.969,6582.2583
93,2021-08-13,6429.8574,6528.778
94,2021-08-14,6341.1,6198.8223
95,2021-08-15,6086.989,5983.757
96,2021-08-16,6054.9976,6471.06
97,2021-08-17,6487.9824,6417.69
98,2021-08-18,6531.233,6299.402
99,2021-08-19,6506.904,6290.715
100,2021-08-20,6541.1475,6312.497
101,2021-08-21,6458.695,6028.5933
102,2021-08-22,6148.714,5871.773
103,2021-08-23,6069.8677,6335.6367
104,2021-08-24,6469.5073,6306.076
105,2021-08-25,6498.341,6286.873
106,2021-08-26,6479.4204,6360.3623
107,2021-08-27,6475.365,6458.062
108,2021-08-28,6392.0117,6254.0283
109,2021-08-29,6104.5576,6040.195
110,2021-08-30,6071.2173,6356.2
111,2021-08-31,6446.0776,6423.1323
112,2021-09-01,6474.464,6493.1084
113,2021-09-02,6459.595,6298.5425
114,2021-09-03,6474.464,6362.3506
115,2021-09-04,6390.2104,6188.2095
116,2021-09-05,6113.571,6039.7646
117,2021-09-06,6095.096,6537.5215
118,2021-09-07,6495.188,6451.408
119,2021-09-08,6538.8906,6505.1514
120,2021-08-11,6588.3086,6613.616
121,2021-08-12,6557.2207,6582.2583
122,2021-08-13,6557.67,6528.778
123,2021-08-14,6505.4014,6198.8223
124,2021-08-15,6141.7896,5983.757
125,2021-08-16,6081.412,6471.06
126,2021-08-17,6567.131,6417.69
127,2021-08-18,6581.551,6299.402
128,2021-08-19,6559.0225,6290.715
129,2021-08-20,6551.814,6312.497
130,2021-08-21,6513.063,6028.5933
131,2021-08-22,6169.726,5871.773
132,2021-08-23,6097.6333,6335.6367
133,2021-08-24,6556.7695,6306.076
134,2021-08-25,6585.156,6286.873
135,2021-08-26,6594.1675,6360.3623
136,2021-08-27,6588.31,6458.062
137,2021-08-28,6509.459,6254.0283
138,2021-08-29,6164.7715,6040.195
139,2021-08-30,6091.325,6356.2
140,2021-08-31,6550.0107,6423.1323
141,2021-09-01,6566.23,6493.1084
142,2021-09-02,6561.274,6298.5425
143,2021-09-03,6571.1875,6362.3506
144,2021-09-04,6528.3833,6188.2095
145,2021-09-05,6193.6045,6039.7646
146,2021-09-06,6160.263,6537.5215
147,2021-09-07,6581.1025,6451.408
148,2021-09-08,6630.2144,6505.1514
149,2021-09-09,6650.4883,6636.3926
150,2021-08-12,6609.3906,6582.2583
151,2021-08-13,6613.4463,6528.778
152,2021-08-14,6570.6377,6198.8223
153,2021-08-15,6185.3745,5983.757
154,2021-08-16,6072.7246,6471.06
155,2021-08-17,6565.681,6417.69
156,2021-08-18,6589.5625,6299.402
157,2021-08-19,6564.781,6290.715
158,2021-08-20,6563.4277,6312.497
159,2021-08-21,6560.275,6028.5933
160,2021-08-22,6184.9233,5871.773
161,2021-08-23,6066.8687,6335.6367
162,2021-08-24,6562.978,6306.076
163,2021-08-25,6589.114,6286.873
164,2021-08-26,6585.5083,6360.3623
165,2021-08-27,6586.4087,6458.062
166,2021-08-28,6532.7876,6254.0283
167,2021-08-29,6152.48,6040.195
168,2021-08-30,6077.6826,6356.2
169,2021-08-31,6530.534,6423.1323
170,2021-09-01,6548.5596,6493.1084
171,2021-09-02,6562.0786,6298.5425
172,2021-09-03,6579.201,6362.3506
173,2021-09-04,6553.9663,6188.2095
174,2021-09-05,6179.9663,6039.7646
175,2021-09-06,6133.1055,6537.5215
176,2021-09-07,6589.564,6451.408
177,2021-09-08,6597.6743,6505.1514
178,2021-09-09,6605.3345,6636.3926
179,2021-09-10,6612.5444,6510.4546
180,2021-08-13,6590.287,6528.778
181,2021-08-14,6563.25,6198.8223
182,2021-08-15,6150.9346,5983.757
183,2021-08-16,6042.338,6471.06
184,2021-08-17,6556.9414,6417.69
185,2021-08-18,6597.0464,6299.402
186,2021-08-19,6602.9043,6290.715
187,2021-08-20,6619.5767,6312.497
188,2021-08-21,6564.601,6028.5933
189,2021-08-22,6177.5225,5871.773
190,2021-08-23,6051.35,6335.6367
191,2021-08-24,6557.8433,6306.076
192,2021-08-25,6575.417,6286.873
193,2021-08-26,6554.689,6360.3623
194,2021-08-27,6569.5586,6458.062
195,2021-08-28,6546.127,6254.0283
196,2021-08-29,6147.7793,6040.195
197,2021-08-30,6054.9536,6356.2
198,2021-08-31,6546.127,6423.1323
199,2021-09-01,6570.0093,6493.1084
200,2021-09-02,6553.3364,6298.5425
201,2021-09-03,6586.2314,6362.3506
202,2021-09-04,6558.7437,6188.2095
203,2021-09-05,6180.675,6039.7646
204,2021-09-06,6105.875,6537.5215
205,2021-09-07,6590.737,6451.408
206,2021-09-08,6635.799,6505.1514
207,2021-09-09,6638.9526,6636.3926
208,2021-09-10,6633.996,6510.4546
209,2021-09-11,6605.1567,6253.585
