,date,pred,true
0,2022-03-13,6590.064,6554.968
1,2022-03-14,7248.52,7116.699
2,2022-03-15,7365.688,7137.591
3,2022-03-16,7363.4893,7451.3105
4,2022-03-17,7401.4463,7633.5356
5,2022-03-18,7291.977,7695.4204
6,2022-03-19,6881.61,6999.5806
7,2022-03-20,6800.1973,6482.3037
8,2022-03-21,7308.4805,7259.8516
9,2022-03-22,7416.2954,7425.5986
10,2022-03-23,7418.497,7511.9487
11,2022-03-24,7453.7046,7573.605
12,2022-03-25,7327.732,7333.783
13,2022-03-26,6904.1646,6883.713
14,2022-03-14,7211.3574,7116.699
15,2022-03-15,7314.7656,7137.591
16,2022-03-16,7324.1167,7451.3105
17,2022-03-17,7393.4277,7633.5356
18,2022-03-18,7260.859,7695.4204
19,2022-03-19,6847.2095,6999.5806
20,2022-03-20,6807.607,6482.3037
21,2022-03-21,7336.219,7259.8516
22,2022-03-22,7424.2295,7425.5986
23,2022-03-23,7463.2837,7511.9487
24,2022-03-24,7425.33,7573.605
25,2022-03-25,7254.811,7333.783
26,2022-03-26,6863.163,6883.713
27,2022-03-27,6858.2104,6844.104
28,2022-03-15,7316.3936,7137.591
29,2022-03-16,7343.351,7451.3105
30,2022-03-17,7401.1167,7633.5356
31,2022-03-18,7218.467,7695.4204
32,2022-03-19,6883.429,6999.5806
33,2022-03-20,6797.055,6482.3037
34,2022-03-21,7277.334,7259.8516
35,2022-03-22,7408.2715,7425.5986
36,2022-03-23,7456.13,7511.9487
37,2022-03-24,7479.2373,7573.605
38,2022-03-25,7348.853,7333.783
39,2022-03-26,6924.69,6883.713
40,2022-03-27,6836.668,6844.104
41,2022-03-28,7272.9316,7479.9385
42,2022-03-16,7250.027,7451.3105
43,2022-03-17,7370.51,7633.5356
44,2022-03-18,7248.3735,7695.4204
45,2022-03-19,6943.033,6999.5806
46,2022-03-20,6839.0527,6482.3037
47,2022-03-21,7343.003,7259.8516
48,2022-03-22,7437.0776,7425.5986
49,2022-03-23,7533.9067,7511.9487
50,2022-03-24,7490.994,7573.605
51,2022-03-25,7325.3955,7333.783
52,2022-03-26,6936.9785,6883.713
53,2022-03-27,6865.4614,6844.104
54,2022-03-28,7352.3535,7479.9385
55,2022-03-29,7476.689,7728.544
56,2022-03-17,7535.6323,7633.5356
57,2022-03-18,7368.9194,7695.4204
58,2022-03-19,6993.679,6999.5806
59,2022-03-20,6927.654,6482.3037
60,2022-03-21,7388.18,7259.8516
61,2022-03-22,7542.2363,7425.5986
62,2022-03-23,7560.9414,7511.9487
63,2022-03-24,7555.4434,7573.605
64,2022-03-25,7380.4736,7333.783
65,2022-03-26,6981.023,6883.713
66,2022-03-27,6946.361,6844.104
67,2022-03-28,7428.3433,7479.9385
68,2022-03-29,7554.34,7728.544
69,2022-03-30,7500.42,7491.206
70,2022-03-18,7495.096,7695.4204
71,2022-03-19,7112.087,6999.5806
72,2022-03-20,7016.8857,6482.3037
73,2022-03-21,7425.2095,7259.8516
74,2022-03-22,7575.9907,7425.5986
75,2022-03-23,7598.5527,7511.9487
76,2022-03-24,7632.6704,7573.605
77,2022-03-25,7489.592,7333.783
78,2022-03-26,7082.9214,6883.713
79,2022-03-27,6981.6636,6844.104
80,2022-03-28,7425.759,7479.9385
81,2022-03-29,7617.2627,7728.544
82,2022-03-30,7580.9434,7491.206
83,2022-03-31,7590.299,7454.201
84,2022-03-19,7235.1807,6999.5806
85,2022-03-20,7056.864,6482.3037
86,2022-03-21,7383.783,7259.8516
87,2022-03-22,7534.584,7425.5986
88,2022-03-23,7611.085,7511.9487
89,2022-03-24,7666.6763,7573.605
90,2022-03-25,7537.338,7333.783
91,2022-03-26,7088.235,6883.713
92,2022-03-27,7021.0894,6844.104
93,2022-03-28,7435.518,7479.9385
